file_path,relative_path,filename,size_bytes,size_mb,mtime,file_hash,registered_at
D:\桌面\本地PDF文献知识库\Acomparativestudyonthemicrostructure andcorrosionresistance.pdf,Acomparativestudyonthemicrostructure andcorrosionresistance.pdf,Acomparativestudyonthemicrostructure andcorrosionresistance.pdf,1694076,1.62,2025-08-08T17:02:32.864422,d6eb7f56ad895998168a258b348611d5,2025-08-13T23:48:02.961090
D:\桌面\本地PDF文献知识库\Amorphous–Crystalline Calcium Phosphate Coating Promotes In Vitro Growth of Tumor-Derived Jurkat T Cells Activated by Anti-CD2CD3CD28 Antibodies.pdf,Amorphous–Crystalline Calcium Phosphate Coating Promotes In Vitro Growth of Tumor-Derived Jurkat T Cells Activated by Anti-CD2CD3CD28 Antibodies.pdf,Amorphous–Crystalline Calcium Phosphate Coating Promotes In Vitro Growth of Tumor-Derived Jurkat T Cells Activated by Anti-CD2CD3CD28 Antibodies.pdf,4253043,4.06,2025-08-09T22:30:50.462665,7ddf192a469019d68081871744977dad,2025-08-13T23:48:02.967633
D:\桌面\本地PDF文献知识库\An investigation of (NaPO3)6 effects and mechanisms during micro-arc oxidation of AZ31 magnesium alloy.pdf,An investigation of (NaPO3)6 effects and mechanisms during micro-arc oxidation of AZ31 magnesium alloy.pdf,An investigation of (NaPO3)6 effects and mechanisms during micro-arc oxidation of AZ31 magnesium alloy.pdf,2205602,2.1,2025-08-08T17:03:47.573867,995677ed832762a9dd0cd0ccb1f89bce,2025-08-13T23:48:02.971130
D:\桌面\本地PDF文献知识库\An investigation of (NaPO3)6 effects and mechanisms during micro-arc.pdf,An investigation of (NaPO3)6 effects and mechanisms during micro-arc.pdf,An investigation of (NaPO3)6 effects and mechanisms during micro-arc.pdf,2205602,2.1,2025-08-08T21:12:05.781890,6a08b7efb4abb4e74d3ac6a4060a781c,2025-08-13T23:48:02.974595
D:\桌面\本地PDF文献知识库\An oxidized dextran-composite self-healing coated magnesium scaffold reduces apoptosis to induce bone regeneration.pdf,An oxidized dextran-composite self-healing coated magnesium scaffold reduces apoptosis to induce bone regeneration.pdf,An oxidized dextran-composite self-healing coated magnesium scaffold reduces apoptosis to induce bone regeneration.pdf,25561236,24.38,2025-08-08T15:45:45.755195,50f2c989557c3e2071d7b45ee387fb76,2025-08-13T23:48:03.012997
D:\桌面\本地PDF文献知识库\Antibacterial and osteogenic activity of a.pdf,Antibacterial and osteogenic activity of a.pdf,Antibacterial and osteogenic activity of a.pdf,9585688,9.14,2025-08-08T15:50:31.948778,8a05a8fa5ed7491b544c4646d6338c85,2025-08-13T23:48:03.027858
D:\桌面\本地PDF文献知识库\Apparent normal spectral emissivity of TBC(ZrO2)-coated TC4 alloy.pdf,Apparent normal spectral emissivity of TBC(ZrO2)-coated TC4 alloy.pdf,Apparent normal spectral emissivity of TBC(ZrO2)-coated TC4 alloy.pdf,4524002,4.31,2025-08-08T15:11:47.525623,048e9762116186857c781e96613b7a52,2025-08-13T23:48:03.034884
D:\桌面\本地PDF文献知识库\Bioresorbable composites based on hybrid phosphate-silicate coatings on Mg0.8Ca alloy.pdf,Bioresorbable composites based on hybrid phosphate-silicate coatings on Mg0.8Ca alloy.pdf,Bioresorbable composites based on hybrid phosphate-silicate coatings on Mg0.8Ca alloy.pdf,696743,0.66,2025-08-08T21:24:42.981179,b35405465b4037d8899a4243ef4c9306,2025-08-13T23:48:03.036090
D:\桌面\本地PDF文献知识库\Characteristics of microarc oxidation coatings deposited on magnesium using alkaline and acidic electrolytes in a single stage as well as using dual electrolytes in two stages.pdf,Characteristics of microarc oxidation coatings deposited on magnesium using alkaline and acidic electrolytes in a single stage as well as using dual electrolytes in two stages.pdf,Characteristics of microarc oxidation coatings deposited on magnesium using alkaline and acidic electrolytes in a single stage as well as using dual electrolytes in two stages.pdf,5746273,5.48,2025-08-08T16:52:34.175466,1829e1ede1d9d3e7ec6377d724d70f26,2025-08-13T23:48:03.044873
D:\桌面\本地PDF文献知识库\Characteristics of the Molten Pool Temperature Field and Its Influence on the Preparation of a Composite Coating on a Ti6Al4V Alloy in the Micro-Arc Oxidation Process.pdf,Characteristics of the Molten Pool Temperature Field and Its Influence on the Preparation of a Composite Coating on a Ti6Al4V Alloy in the Micro-Arc Oxidation Process.pdf,Characteristics of the Molten Pool Temperature Field and Its Influence on the Preparation of a Composite Coating on a Ti6Al4V Alloy in the Micro-Arc Oxidation Process.pdf,4907028,4.68,2025-08-08T15:36:48.875039,758eb26d3eb977347c6fd20f25dc9c6f,2025-08-13T23:48:03.052219
