plan_id,batch_id,system,alpha,epsilon,confidence,mass_proxy,uniformity_penalty,score_total,set
batch_20250814_1714_plan_014,batch_20250814_1714,zirconate,0.1589,0.8416,0.7612,0.4099,0.0,3.9984,conservative
batch_20250814_1710_plan_014,batch_20250814_1710,silicate,0.1589,0.8416,0.7612,0.4799,0.0,3.9284,conservative
batch_20250814_1714_plan_012,batch_20250814_1714,zirconate,0.2429,0.8411,0.7888,0.1934,0.0,3.423,conservative
batch_20250814_1710_plan_012,batch_20250814_1710,silicate,0.2429,0.8411,0.7888,0.2349,0.0,3.3815,conservative
batch_20250814_1714_plan_004,batch_20250814_1714,zirconate,0.2308,0.8456,0.7277,0.173,0.0,3.0115,conservative
batch_20250814_1710_plan_004,batch_20250814_1710,silicate,0.2308,0.8456,0.7277,0.2045,0.0,2.98,conservative
batch_20250814_1714_plan_010,batch_20250814_1714,zirconate,0.2367,0.8048,0.5318,0.2,0.0,2.1451,conservative
batch_20250814_1710_plan_002,batch_20250814_1710,silicate,0.2099,0.8109,0.557,0.6957,0.0,2.124,conservative
batch_20250814_1714_plan_002,batch_20250814_1714,zirconate,0.2099,0.8109,0.557,0.7221,0.0,2.0976,conservative
batch_20250814_1710_plan_010,batch_20250814_1710,silicate,0.2367,0.8048,0.5318,0.2486,0.0,2.0964,conservative
batch_20250814_1714_variant_001,batch_20250814_1714,zirconate,0.2382,0.7753,0.6,0.1144,0.0,2.0415,conservative
batch_20250814_1714_variant_002,batch_20250814_1714,zirconate,0.2383,0.7751,0.6,0.1144,0.0,2.036,conservative
batch_20250814_1714_plan_009,batch_20250814_1714,zirconate,0.2057,0.843,0.4736,0.437,0.0,3.3109,explore
batch_20250814_1710_plan_009,batch_20250814_1710,silicate,0.2057,0.843,0.4736,0.5529,0.0,3.1951,explore
batch_20250814_1714_plan_005,batch_20250814_1714,zirconate,0.1569,0.782,0.7125,0.4649,0.45,2.5584,explore
batch_20250814_1710_plan_005,batch_20250814_1710,silicate,0.1569,0.782,0.7125,0.5502,0.45,2.473,explore
batch_20250814_1714_plan_007,batch_20250814_1714,zirconate,0.2307,0.8157,0.5465,0.3418,0.0,2.2205,explore
batch_20250814_1714_plan_001,batch_20250814_1714,zirconate,0.1532,0.7594,0.4163,0.3067,0.0,2.2075,explore
batch_20250814_1710_plan_007,batch_20250814_1710,silicate,0.2307,0.8157,0.5465,0.4177,0.0,2.1447,explore
batch_20250814_1710_plan_001,batch_20250814_1710,silicate,0.1532,0.7594,0.4163,0.4156,0.0,2.0986,explore
