plan_id,batch_id,system,alpha,epsilon,confidence,hard_constraints_passed,rule_penalty,reward_score,citations_count,status,created_at,mass_proxy,uniformity_penalty,score_total
batch_20250814_1710_plan_001,batch_20250814_1710,silicate,0.1532,0.7594,0.4163,True,2.81,0.6728,4,success,2025-08-14T17:10:07.014405,0.4156,0.0,2.0986
batch_20250814_1710_plan_002,batch_20250814_1710,silicate,0.2099,0.8109,0.557,True,3.12,0.8577,4,success,2025-08-14T17:10:07.034700,0.6957,0.0,2.124
batch_20250814_1710_plan_003,batch_20250814_1710,silicate,0.2069,0.76,0.6872,True,1.51,0.6072,4,success,2025-08-14T17:10:07.055036,0.1808,0.0,1.8688
batch_20250814_1710_plan_004,batch_20250814_1710,silicate,0.2308,0.8456,0.7277,True,4.5,0.1533,3,success,2025-08-14T17:10:07.074392,0.2045,0.0,2.98
batch_20250814_1710_plan_005,batch_20250814_1710,silicate,0.1569,0.782,0.7125,True,0.68,0.8356,3,success,2025-08-14T17:10:07.092934,0.5502,0.45,2.473
batch_20250814_1710_plan_006,batch_20250814_1710,silicate,0.2457,0.7501,0.7713,True,3.62,0.1073,3,success,2025-08-14T17:10:07.112099,0.6503,0.7833,-0.3242
batch_20250814_1710_plan_007,batch_20250814_1710,silicate,0.2307,0.8157,0.5465,False,3.81,0.5453,2,success,2025-08-14T17:10:07.131062,0.4177,0.0,2.1447
batch_20250814_1710_plan_008,batch_20250814_1710,silicate,0.1955,0.7545,0.573,False,4.46,0.3288,3,success,2025-08-14T17:10:07.150685,0.4227,0.45,0.8621
batch_20250814_1710_plan_009,batch_20250814_1710,silicate,0.2057,0.843,0.4736,False,1.74,0.2779,1,success,2025-08-14T17:10:07.173412,0.5529,0.0,3.1951
batch_20250814_1710_plan_010,batch_20250814_1710,silicate,0.2367,0.8048,0.5318,True,2.62,0.3739,3,success,2025-08-14T17:10:07.192335,0.2486,0.0,2.0964
batch_20250814_1710_plan_011,batch_20250814_1710,silicate,0.1913,0.7683,0.473,True,0.17,0.4097,1,success,2025-08-14T17:10:07.214448,0.6957,0.85,1.2906
batch_20250814_1710_plan_012,batch_20250814_1710,silicate,0.2429,0.8411,0.7888,True,0.66,0.8047,1,success,2025-08-14T17:10:07.232884,0.2349,0.0,3.3815
batch_20250814_1710_plan_013,batch_20250814_1710,silicate,0.2478,0.7709,0.4,True,4.0,0.4623,1,success,2025-08-14T17:10:07.262043,0.6957,0.85,-0.2484
batch_20250814_1710_plan_014,batch_20250814_1710,silicate,0.1589,0.8416,0.7612,True,2.36,0.4083,4,success,2025-08-14T17:10:07.280755,0.4799,0.0,3.9284
batch_20250814_1710_plan_015,batch_20250814_1710,silicate,0.1837,0.7755,0.5869,False,2.86,0.1435,2,success,2025-08-14T17:10:07.307885,0.4409,0.45,1.5514
batch_20250814_1710_variant_001,batch_20250814_1710,silicate,0.2386,0.7757,0.6,True,0.5,0.7,1,success,2025-08-14T17:13:08.660038,0.1368,0.0,2.025
batch_20250814_1710_variant_002,batch_20250814_1710,silicate,0.2388,0.7757,0.6,True,0.5,0.7,1,success,2025-08-14T17:13:08.675809,0.1368,0.0,2.0211
batch_20250814_1710_variant_003,batch_20250814_1710,silicate,0.2385,0.7753,0.6,True,0.5,0.7,1,success,2025-08-14T17:13:08.696727,0.1497,0.25,1.7533
batch_20250814_1710_variant_004,batch_20250814_1710,silicate,0.2389,0.7757,0.6,True,0.5,0.7,1,success,2025-08-14T17:13:08.713075,0.1497,0.25,1.7566
batch_20250814_1710_variant_005,batch_20250814_1710,silicate,0.2383,0.7757,0.6,True,0.5,0.7,1,success,2025-08-14T17:13:08.728634,0.1368,0.45,1.5762
batch_20250814_1710_variant_006,batch_20250814_1710,silicate,0.2385,0.7755,0.6,True,0.5,0.7,1,success,2025-08-14T17:13:08.745931,0.3774,0.0,1.7806
batch_20250814_1710_variant_007,batch_20250814_1710,silicate,0.2387,0.7752,0.6,True,0.5,0.7,1,success,2025-08-14T17:13:08.761445,0.3774,0.0,1.7707
batch_20250814_1710_variant_008,batch_20250814_1710,silicate,0.2386,0.7753,0.6,True,0.5,0.7,1,success,2025-08-14T17:13:08.777869,0.1497,0.85,1.1526
batch_20250814_1710_variant_009,batch_20250814_1710,silicate,0.2386,0.7754,0.6,True,0.5,0.7,1,success,2025-08-14T17:13:08.793599,0.3774,0.45,1.326
batch_20250814_1710_variant_010,batch_20250814_1710,silicate,0.2387,0.7749,0.6,True,0.5,0.7,1,success,2025-08-14T17:13:08.809114,0.4977,0.25,1.3943
batch_20250814_1710_variant_011,batch_20250814_1710,silicate,0.2387,0.7749,0.6,True,0.5,0.7,1,success,2025-08-14T17:13:08.824721,0.5204,0.25,1.3719
batch_20250814_1710_variant_012,batch_20250814_1710,silicate,0.2385,0.7753,0.6,True,0.5,0.7,1,success,2025-08-14T17:13:08.840193,0.5182,0.45,1.1835
batch_20250814_1710_variant_013,batch_20250814_1710,silicate,0.238,0.7752,0.6,True,0.5,0.7,1,success,2025-08-14T17:13:08.855232,0.5455,0.45,1.1595
batch_20250814_1710_variant_014,batch_20250814_1710,silicate,0.2387,0.7751,0.6,True,0.5,0.7,1,success,2025-08-14T17:13:08.870677,0.5484,0.4187,1.1808
batch_20250814_1710_variant_015,batch_20250814_1710,silicate,0.2384,0.7752,0.6,True,0.5,0.7,1,success,2025-08-14T17:13:08.886555,0.5786,0.45,1.1233
batch_20250814_1710_variant_016,batch_20250814_1710,silicate,0.2385,0.7754,0.6,True,0.5,0.7,1,success,2025-08-14T17:13:08.902541,0.6957,0.45,1.0097
batch_20250814_1710_variant_017,batch_20250814_1710,silicate,0.2385,0.7753,0.6,True,0.5,0.7,1,success,2025-08-14T17:13:08.917883,0.6935,0.45,1.0096
batch_20250814_1710_variant_018,batch_20250814_1710,silicate,0.2385,0.7754,0.6,True,0.5,0.7,1,success,2025-08-14T17:13:08.933177,0.6957,0.45,1.009
batch_20250814_1714_plan_001,batch_20250814_1714,zirconate,0.1532,0.7594,0.4163,True,2.81,0.6728,4,success,2025-08-14T17:14:17.200170,0.3067,0.0,2.2075
batch_20250814_1714_plan_002,batch_20250814_1714,zirconate,0.2099,0.8109,0.557,True,3.12,0.8577,4,success,2025-08-14T17:14:17.229599,0.7221,0.0,2.0976
batch_20250814_1714_plan_003,batch_20250814_1714,zirconate,0.2069,0.76,0.6872,True,1.51,0.6072,4,success,2025-08-14T17:14:17.248374,0.158,0.0,1.8916
batch_20250814_1714_plan_004,batch_20250814_1714,zirconate,0.2308,0.8456,0.7277,True,4.5,0.1533,3,success,2025-08-14T17:14:17.277200,0.173,0.0,3.0115
batch_20250814_1714_plan_005,batch_20250814_1714,zirconate,0.1569,0.782,0.7125,True,0.68,0.8356,3,success,2025-08-14T17:14:17.295314,0.4649,0.45,2.5584
batch_20250814_1714_plan_006,batch_20250814_1714,zirconate,0.2457,0.7501,0.7713,True,3.62,0.1073,3,success,2025-08-14T17:14:17.323903,0.5166,0.2071,0.3857
batch_20250814_1714_plan_007,batch_20250814_1714,zirconate,0.2307,0.8157,0.5465,False,3.81,0.5453,2,success,2025-08-14T17:14:17.342646,0.3418,0.0,2.2205
