plan_id,batch_id,system,alpha,epsilon,confidence,hard_constraints_passed,rule_penalty,reward_score,citations_count,status,created_at,mass_proxy,uniformity_penalty,score_total
batch_20250814_2006_plan_001,batch_20250814_2006,silicate,0.1532,0.7594,0.4163,True,2.81,0.6728,4,success,2025-08-14T20:06:23.256111,0.4156,0.0,2.0986
batch_20250814_2006_plan_002,batch_20250814_2006,silicate,0.2099,0.8109,0.557,True,3.12,0.8577,4,success,2025-08-14T20:06:23.285899,0.6957,0.0,2.124
batch_20250814_2006_plan_003,batch_20250814_2006,silicate,0.2069,0.76,0.6872,True,1.51,0.6072,4,success,2025-08-14T20:06:23.306954,0.1808,0.0,1.8688
batch_20250814_2006_plan_004,batch_20250814_2006,silicate,0.2308,0.8456,0.7277,True,4.5,0.1533,3,success,2025-08-14T20:06:23.338309,0.2045,0.0,2.98
batch_20250814_2006_plan_005,batch_20250814_2006,silicate,0.1569,0.782,0.7125,True,0.68,0.8356,3,success,2025-08-14T20:06:23.360277,0.5502,0.45,2.473
batch_20250814_2006_plan_006,batch_20250814_2006,silicate,0.2457,0.7501,0.7713,True,3.62,0.1073,3,success,2025-08-14T20:06:23.381143,0.6503,0.7833,-0.3242
batch_20250814_2006_plan_007,batch_20250814_2006,silicate,0.2307,0.8157,0.5465,False,3.81,0.5453,2,success,2025-08-14T20:06:23.400855,0.4177,0.0,2.1447
batch_20250814_2006_plan_008,batch_20250814_2006,silicate,0.1955,0.7545,0.573,False,4.46,0.3288,3,success,2025-08-14T20:06:23.419719,0.4227,0.45,0.8621
batch_20250814_2006_plan_009,batch_20250814_2006,silicate,0.2057,0.843,0.4736,False,1.74,0.2779,1,success,2025-08-14T20:06:23.444483,0.5529,0.0,3.1951
batch_20250814_2006_plan_010,batch_20250814_2006,silicate,0.2367,0.8048,0.5318,True,2.62,0.3739,3,success,2025-08-14T20:06:23.464651,0.2486,0.0,2.0964
batch_20250814_2006_plan_011,batch_20250814_2006,silicate,0.1913,0.7683,0.473,True,0.17,0.4097,1,success,2025-08-14T20:06:23.488326,0.6957,0.85,1.2906
batch_20250814_2006_plan_012,batch_20250814_2006,silicate,0.2429,0.8411,0.7888,True,0.66,0.8047,1,success,2025-08-14T20:06:23.507534,0.2349,0.0,3.3815
batch_20250814_2006_variant_001,batch_20250814_2006,silicate,0.2386,0.7757,0.6,True,0.5,0.7,1,success,2025-08-14T20:08:56.195197,0.1368,0.0,2.025
