plan_id,batch_id,system,alpha,epsilon,confidence,hard_constraints_passed,rule_penalty,reward_score,citations_count,status,created_at,mass_proxy,uniformity_penalty,score_total
batch_20250814_0353_plan_001,batch_20250814_0353,silicate,0.1332,0.8094,0.4163,True,2.81,0.6728,4,success,2025-08-14T03:53:44.144231,0.4156,0.0000,3.3679
batch_20250814_0353_plan_002,batch_20250814_0353,silicate,0.1899,0.8609,0.5570,True,3.12,0.8577,4,success,2025-08-14T03:53:44.164315,0.6957,0.0000,3.3365
batch_20250814_0353_plan_003,batch_20250814_0353,silicate,0.1869,0.8100,0.6872,True,1.51,0.6072,4,success,2025-08-14T03:53:44.184902,0.1808,0.0000,3.3202
batch_20250814_0353_plan_004,batch_20250814_0353,silicate,0.2108,0.8956,0.7277,True,4.50,0.1533,3,success,2025-08-14T03:53:44.210470,0.2045,0.0000,3.6936
batch_20250814_0353_plan_005,batch_20250814_0353,silicate,0.1369,0.8320,0.7125,True,0.68,0.8356,3,success,2025-08-14T03:53:44.243250,0.5502,0.4500,3.8084
batch_20250814_0353_plan_006,batch_20250814_0353,silicate,0.2257,0.8001,0.7713,True,3.62,0.1073,3,success,2025-08-14T03:53:44.275416,0.6503,0.7833,0.9379
batch_20250814_0353_plan_007,batch_20250814_0353,silicate,0.2107,0.8657,0.5465,False,3.81,0.5453,2,success,2025-08-14T03:53:44.298270,0.4177,0.0000,3.2533
batch_20250814_0353_plan_008,batch_20250814_0353,silicate,0.1755,0.8045,0.5730,False,4.46,0.3288,3,success,2025-08-14T03:53:44.326254,0.4227,0.4500,2.2471
batch_20250814_0353_plan_009,batch_20250814_0353,silicate,0.1857,0.8930,0.4736,False,1.74,0.2779,1,success,2025-08-14T03:53:44.347616,0.5529,0.0000,3.9718
batch_20250814_0353_plan_010,batch_20250814_0353,silicate,0.2167,0.8548,0.5318,True,2.62,0.3739,3,success,2025-08-14T03:53:44.368486,0.2486,0.0000,3.3342
batch_20250814_0353_plan_011,batch_20250814_0353,silicate,0.1713,0.8183,0.4730,True,0.17,0.4097,1,success,2025-08-14T03:53:44.388647,0.6957,0.8500,2.7615
batch_20250814_0353_plan_012,batch_20250814_0353,silicate,0.2229,0.8911,0.7888,True,0.66,0.8047,1,success,2025-08-14T03:53:44.411957,0.2349,0.0000,4.1012
batch_20250814_0353_plan_013,batch_20250814_0353,silicate,0.2278,0.8209,0.4000,True,4.00,0.4623,1,success,2025-08-14T03:53:44.432201,0.6957,0.8500,1.1585
batch_20250814_0353_plan_014,batch_20250814_0353,silicate,0.1389,0.8916,0.7612,True,2.36,0.4083,4,success,2025-08-14T03:53:44.452547,0.4799,0.0000,4.5673
batch_20250814_0353_plan_015,batch_20250814_0353,silicate,0.1637,0.8255,0.5869,False,2.86,0.1435,2,success,2025-08-14T03:53:44.478226,0.4409,0.4500,3.0092
batch_20250814_0353_variant_001,batch_20250814_0353,silicate,0.2386,0.7757,0.6000,True,0.50,0.7000,1,success,2025-08-14T03:55:14.373889,0.1368,0.0000,2.0250
batch_20250814_0353_variant_002,batch_20250814_0353,silicate,0.2388,0.7757,0.6000,True,0.50,0.7000,1,success,2025-08-14T03:55:14.390371,0.1368,0.0000,2.0211
batch_20250814_0353_variant_003,batch_20250814_0353,silicate,0.2385,0.7752,0.6000,True,0.50,0.7000,1,success,2025-08-14T03:55:14.406793,0.1668,0.0000,1.9837
batch_20250814_0353_variant_004,batch_20250814_0353,silicate,0.2387,0.7753,0.6000,True,0.50,0.7000,1,success,2025-08-14T03:55:14.422806,0.1668,0.0000,1.9824
batch_20250814_0353_variant_005,batch_20250814_0353,silicate,0.2383,0.7757,0.6000,True,0.50,0.7000,1,success,2025-08-14T03:55:14.438834,0.1368,0.4500,1.5762
batch_20250814_0353_variant_006,batch_20250814_0353,silicate,0.2388,0.7752,0.6000,True,0.50,0.7000,1,success,2025-08-14T03:55:14.455339,0.1668,0.4500,1.5314
batch_20250814_0353_variant_007,batch_20250814_0353,silicate,0.2386,0.7754,0.6000,True,0.50,0.7000,1,success,2025-08-14T03:55:14.472182,0.2788,0.1833,1.6926
batch_20250814_0353_variant_008,batch_20250814_0353,silicate,0.2387,0.7754,0.6000,True,0.50,0.7000,1,success,2025-08-14T03:55:14.488503,0.2788,0.1833,1.6908
batch_20250814_0353_variant_009,batch_20250814_0353,silicate,0.2385,0.7755,0.6000,True,0.50,0.7000,1,success,2025-08-14T03:55:14.505237,0.2788,0.7833,1.0949
